Genmodel_ID,Image_ID,Image_name,Predicted_viewpoint,Maker,Genmodel,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
2_1,2_1$$1$$1,Abarth$$124 Spider$$2017$$Blue$$2_1$$1$$image_1.jpg,45,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$1$$1,Abarth$$124 Spider$$2017$$Blue$$2_1$$1$$image_1.jpg,45,ABARTH,ABARTH SPIDER,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$11,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_11.jpg,45,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$11,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_11.jpg,45,ABARTH,ABARTH SPIDER,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$16,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_16.jpg,0,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$16,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_16.jpg,0,ABARTH,ABARTH SPIDER,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$18,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_18.jpg,270,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$18,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_18.jpg,270,ABARTH,ABARTH SPIDER,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$2,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_2.jpg,180,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$2,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_2.jpg,180,ABARTH,ABARTH SPIDER,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$21,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_21.jpg,0,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$21,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_21.jpg,0,ABARTH,ABARTH SPIDER,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$25,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_25.jpg,0,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$25,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_25.jpg,0,ABARTH,ABARTH SPIDER,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$3,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_3.jpg,45,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$10$$3,Abarth$$124 Spider$$2017$$Blue$$2_1$$10$$image_3.jpg,45,ABARTH,ABARTH SPIDER,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,2_1$$4$$0,Abarth$$124 Spider$$2017$$Blue$$2_1$$4$$image_0.jpg,0,ABARTH,ABARTH 124,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
